Text,Class,ID
Fun little place to stop and have lunch  There was plenty of parking out back  and more tables on the patio than there was inside  The lunch menu has all the basics  I chose the turkey sandwich which was very moist and tasty  I also ordered a strawberry banana smoothie which hit the spot on this hot day  This a dog friendly place that has tie outs here and there ,positive,1307144
This place was PACKED  Went for late night food  They serve late which is awesome  Ended up having to get our food to go because they had 1 cook & he got slammed w/ orders  I got pork schnitzel sandwich  The breading was dark but still good   however there was NO  potato salad on sandwich as described   Disappointing   Boyfriend ordered the spicy burger ($9) He said it was OK  He wasnt super impressed  Waffle fries were good  Prices are reasonable  Debating whether wed give them another shot ,negative,5544361
We board the plane 30 minutes before the actual flight  to make sure that we leave on time! The flight from Las Vegas to Sacramento took 1 hour and 15 minutes! Not bad at all! During our 1 hour and 15 minute flight  the servers were very kind and polite  They serve soda  oranges  water  roasted peanuts  and pretzels while you are in there  The flight is a breeze and I wasnt afraid at all! It was a nice experience and I hope to be able to go on another trip with Southwest Airlines again ,positive,5956200
Chaotic 4 story place  but fun for kids  The white chocolate M&Ms are to die for! The peanut butter ones are super yummy too ,positive,718388
After (intentionally) capsizing a sailboat in TTL  I spent a good 15 minutes floating in this giant puddle  And that was much  much too long  Gross ,neutral,174754
I hadnt been to an Outback for a very long time   And it will be a very long time before I go back   Its okay   Just okay   And maybe thats the problem  Our server was great   My steak was good  very lean  cooked the way I asked   The sweet potato was good   My son ordered a burger piled high with crispy onions  and he enjoyed it   The server recommended a wedge salad  which I did not like   To make it unique  the chef added a balsamic dressing to it   The blue cheese and balsamic were not a happy pairing  The brown bread Outback is known for was okay  but I prefer the slightly sweet brown bread from Cheesecake Factory   The blooming onion  which we thought we liked so much in the past  has lost its luster   Too much for two people and neither of us liked the dipping sauce   These days it seems an eating experience has to be terrific from start to finish  and Outback just doesnt hit all the high points ,neutral,2170910
Really??? $18 dollar valet   I would encourage people not  to come here  What a joke  Dont waist your time or money  Pass every MGM property  You have options ,negative,4322169
This is one of my favourite Tim Hortons in Toronto  The reason? Friendly / reliable staff  I have never had a problem with my orders at this location  The place is clean  the staff are nice  the food is above par for Tim Hortons    My only complaint is the washrooms are single occupancy only so there is sometimes a lineup to use the toilet ,positive,5304619
As the name implies  this location of Mon Ami focuses on Korean BBQ with an allyoucaneat menu  Our group focused on the meats: chicken  bulgogi  pork  kalbi    and while those were cooking we dug into steamed dumplings  salmon sashimi  fried chicken  seafood pancake  and soybean paste stew  While they were all pretty good (and the fried chicken was great as in all locations)  come here for the BBQ  Get yourself some lettuce  sesame oil and salt  soybean paste  kimchi  seasoned green onions  raw garlic  and go to town with your slightly charred meats and seafood  Also  feel free to grab as many sodas or juices you want from the fridge in the middle of the restaurant  I hear that the weekend has more options than weekdays  so the extra price may be worth it if you want more variety  As it is  we still focused on the meat and Im craving it again as I type this    ,positive,359864
Tariq is topnotch! Ive known Tariq as a business contact for a few years  and Im grateful to have finally become his client  He specializes in Power of Sale properties from the investors side  My first deal was an entry level property and I still netted a cool 32K in less than 4 months  There were 22 offers on the property I ended up purchasing  and ours was the winner  Ive seen Tariq win deals where there were even 25 offers on the table  All because of his contacts and his expertise  If youre an investorclient looking to get your hands on one of those elusive hot properties  Tariq is your man! I should mention that Tariq is a onestopshop in that he has access to a number of great mortgage brokers he can put you in touch with  as well as home inspectors and contractors  Youll be lucky to have Tariq on your team ,positive,4684053
mmmmmm    the bobbie (thanksgiving on a sandwich) or the capistrami    oh boy is this place delicious ,positive,6611348
Amazing service  amazing food (hello Soul in a Bowl)  and worth the wait in line at any hour!,positive,289456
Per word of mouth from coworkers this placed is closed as of 2/8/2016  Sad because the food and service was top notch ,positive,4185898
